,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
2701951,CLT,PVD,"Charlotte, NC","Providence, RI",1552,1862,19,683,1996-04-01,1164160,1500950,35.2140007019043,-80.9430999755859,41.7326011657715,-71.4204025268555
2701996,EWR,PVD,"Newark, NJ","Providence, RI",898,1792,14,160,1996-12-01,17190036,1500950,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2702028,EWR,PVD,"Newark, NJ","Providence, RI",1122,2980,20,160,1996-07-01,17190036,1500950,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2702169,TPA,PVD,"Tampa, FL","Providence, RI",220,244,2,1137,1997-12-01,2225002,1501497,27.9755001068115,-82.533203125,41.7326011657715,-71.4204025268555
2702180,TPA,PVD,"Tampa, FL","Providence, RI",137,144,1,1137,1997-08-01,2225002,1501497,27.9755001068115,-82.533203125,41.7326011657715,-71.4204025268555
2702268,DCA,PVD,"Washington, DC","Providence, RI",130,288,2,357,1997-11-01,8966798,1501497,38.8521,-77.037697,41.7326011657715,-71.4204025268555
2702295,DCA,PVD,"Washington, DC","Providence, RI",1500,2975,21,357,1997-12-01,8966798,1501497,38.8521,-77.037697,41.7326011657715,-71.4204025268555
2702379,ORD,PVD,"Chicago, IL","Providence, RI",9331,12789,87,849,1997-04-01,17405264,1501497,41.97859955,-87.90480042,41.7326011657715,-71.4204025268555
2702418,MDW,PVD,"Chicago, IL","Providence, RI",4234,5246,43,842,1997-09-01,17405264,1501497,41.7859992980957,-87.7524032592773,41.7326011657715,-71.4204025268555
2702537,CLT,PVD,"Charlotte, NC","Providence, RI",3282,3796,30,683,1997-08-01,1194105,1501497,35.2140007019043,-80.9430999755859,41.7326011657715,-71.4204025268555
2702775,PHL,PVD,"Philadelphia, PA","Providence, RI",1003,1512,12,238,1998-11-01,11020546,1504679,39.871898651123,-75.241096496582,41.7326011657715,-71.4204025268555
2702943,EWR,PVD,"Newark, NJ","Providence, RI",143,190,2,160,1998-01-01,17341505,1504679,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2703003,MCO,PVD,"Orlando, FL","Providence, RI",6036,7378,62,1073,1998-12-01,1502837,1504679,28.4293994903564,-81.3089981079102,41.7326011657715,-71.4204025268555
2703170,DTW,PVD,"Detroit, MI","Providence, RI",692,1326,12,614,1998-05-01,8944948,1504679,42.2123985290527,-83.353401184082,41.7326011657715,-71.4204025268555
2703343,BWI,PVD,"Baltimore, MD","Providence, RI",3569,4514,37,328,1998-07-01,2480971,1504679,39.17539978,-76.66829681,41.7326011657715,-71.4204025268555
2703349,CLE,PVD,"Cleveland, OH","Providence, RI",2810,3120,30,540,1998-07-01,2121415,1504679,41.4117012024,-81.8498001099,41.7326011657715,-71.4204025268555
2703563,BWI,PVD,"Baltimore, MD","Providence, RI",320,366,3,328,1999-08-01,2491254,1511077,39.17539978,-76.66829681,41.7326011657715,-71.4204025268555
2703984,MDW,PVD,"Chicago, IL","Providence, RI",96,244,2,842,1999-09-01,17655010,1511077,41.7859992980957,-87.7524032592773,41.7326011657715,-71.4204025268555
2704641,JAN,PVD,"Jackson, MS","Providence, RI",47,137,1,1215,2000-01-01,498252,1586744,32.3111991882,-90.0758972168,41.7326011657715,-71.4204025268555
2704660,MCO,PVD,"Orlando, FL","Providence, RI",8206,12878,94,1073,2000-09-01,1656835,1586744,28.4293994903564,-81.3089981079102,41.7326011657715,-71.4204025268555
2704790,DTW,PVD,"Detroit, MI","Providence, RI",1638,4200,28,614,2000-04-01,8914942,1586744,42.2123985290527,-83.353401184082,41.7326011657715,-71.4204025268555
2704879,ATL,PVD,"Atlanta, GA","Providence, RI",14065,17040,120,903,2000-06-01,4281905,1586744,33.6366996765137,-84.4281005859375,41.7326011657715,-71.4204025268555
2705045,ORD,PVD,"Chicago, IL","Providence, RI",12,120,1,849,2001-10-01,18385002,1596350,41.97859955,-87.90480042,41.7326011657715,-71.4204025268555
2705163,BWI,PVD,"Baltimore, MD","Providence, RI",14147,20830,178,328,2001-02-01,2577904,1596350,39.17539978,-76.66829681,41.7326011657715,-71.4204025268555
2705187,CLE,PVD,"Cleveland, OH","Providence, RI",2206,3150,63,540,2001-12-01,2144528,1596350,41.4117012024,-81.8498001099,41.7326011657715,-71.4204025268555
2705204,CLE,PVD,"Cleveland, OH","Providence, RI",239,259,7,540,2001-03-01,2144528,1596350,41.4117012024,-81.8498001099,41.7326011657715,-71.4204025268555
2705366,PIT,PVD,"Pittsburgh, PA","Providence, RI",2366,4032,28,467,2001-09-01,2418223,1596350,40.49150085,-80.23290253,41.7326011657715,-71.4204025268555
2705443,PHL,PVD,"Philadelphia, PA","Providence, RI",454,720,5,238,2001-11-01,11445082,1596350,39.871898651123,-75.241096496582,41.7326011657715,-71.4204025268555
2705490,PHL,PVD,"Philadelphia, PA","Providence, RI",1054,2160,18,238,2001-09-01,11445082,1596350,39.871898651123,-75.241096496582,41.7326011657715,-71.4204025268555
2705620,EWR,PVD,"Newark, NJ","Providence, RI",2146,3565,23,160,2001-05-01,18490029,1596350,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2705635,EWR,PVD,"Newark, NJ","Providence, RI",1535,3016,29,160,2001-12-01,18490029,1596350,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2705639,EWR,PVD,"Newark, NJ","Providence, RI",1446,1800,36,160,2001-05-01,18490029,1596350,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2705650,EWR,PVD,"Newark, NJ","Providence, RI",6,32,1,160,2001-08-01,18490029,1596350,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2705681,MCO,PVD,"Orlando, FL","Providence, RI",94,118,1,1073,2001-12-01,1708955,1596350,28.4293994903564,-81.3089981079102,41.7326011657715,-71.4204025268555
2705688,MCO,PVD,"Orlando, FL","Providence, RI",4049,6028,44,1073,2001-12-01,1708955,1596350,28.4293994903564,-81.3089981079102,41.7326011657715,-71.4204025268555
2705966,PIT,PVD,"Pittsburgh, PA","Providence, RI",2302,3934,28,467,2002-02-01,2408973,1608751,40.49150085,-80.23290253,41.7326011657715,-71.4204025268555
2706018,ATL,PVD,"Atlanta, GA","Providence, RI",5832,8236,58,903,2002-11-01,4555490,1608751,33.6366996765137,-84.4281005859375,41.7326011657715,-71.4204025268555
2706452,TPA,PVD,"Tampa, FL","Providence, RI",2791,4658,34,1137,2002-10-01,2483575,1608751,27.9755001068115,-82.533203125,41.7326011657715,-71.4204025268555
2706464,ALB,PVD,"Albany, NY","Providence, RI",667,1862,98,141,2002-10-01,833752,1608751,42.7482986450195,-73.8016967773438,41.7326011657715,-71.4204025268555
2706685,DCA,PVD,"Washington, DC","Providence, RI",298,756,6,357,2003-09-01,10172752,1617323,38.8521,-77.037697,41.7326011657715,-71.4204025268555
2706730,DCA,PVD,"Washington, DC","Providence, RI",3045,4536,36,357,2003-11-01,10172752,1617323,38.8521,-77.037697,41.7326011657715,-71.4204025268555
2706745,ILN,PVD,"Wilmington, OH","Providence, RI",0,0,4,671,2003-08-01,41441,1617323,39.427898407,-83.792098999,41.7326011657715,-71.4204025268555
2706878,ORD,PVD,"Chicago, IL","Providence, RI",13828,15996,124,849,2003-07-01,18572324,1617323,41.97859955,-87.90480042,41.7326011657715,-71.4204025268555
2706897,MDW,PVD,"Chicago, IL","Providence, RI",3920,6713,49,842,2003-11-01,18572324,1617323,41.7859992980957,-87.7524032592773,41.7326011657715,-71.4204025268555
